"Index","TY3M","TY6M","TY1Y","TY3Y","TY5Y","TY7Y","TY10Y","TY20Y","TY30Y"
1962-01-02,NA,NA,3.22,3.7,3.88,NA,4.06,NA,NA
1962-01-03,NA,NA,3.24,3.7,3.87,NA,4.03,NA,NA
1962-01-04,NA,NA,3.24,3.69,3.86,NA,3.99,NA,NA
1962-01-05,NA,NA,3.26,3.71,3.89,NA,4.02,NA,NA
1962-01-08,NA,NA,3.31,3.71,3.91,NA,4.03,NA,NA
1962-01-09,NA,NA,3.32,3.74,3.93,NA,4.05,NA,NA
1962-01-10,NA,NA,3.33,3.75,3.94,NA,4.07,NA,NA
1962-01-11,NA,NA,3.33,3.77,3.94,NA,4.08,NA,NA
1962-01-12,NA,NA,3.3,3.76,3.95,NA,4.08,NA,NA
1962-01-15,NA,NA,3.32,3.79,3.96,NA,4.1,NA,NA
1962-01-16,NA,NA,3.3,3.81,3.98,NA,4.13,NA,NA
1962-01-17,NA,NA,3.3,3.81,3.97,NA,4.12,NA,NA
1962-01-18,NA,NA,3.27,3.79,3.96,NA,4.11,NA,NA
1962-01-19,NA,NA,3.27,3.78,3.95,NA,4.11,NA,NA
1962-01-22,NA,NA,3.25,3.76,3.93,NA,4.09,NA,NA
1962-01-23,NA,NA,3.25,3.77,3.94,NA,4.11,NA,NA
1962-01-24,NA,NA,3.24,3.76,3.93,NA,4.1,NA,NA
1962-01-25,NA,NA,3.27,3.77,3.94,NA,4.11,NA,NA
1962-01-26,NA,NA,3.28,3.8,3.97,NA,4.11,NA,NA
1962-01-29,NA,NA,3.28,3.8,3.98,NA,4.12,NA,NA
1962-01-30,NA,NA,3.28,3.8,3.98,NA,4.11,NA,NA
1962-01-31,NA,NA,3.29,3.81,3.99,NA,4.1,NA,NA
1962-02-01,NA,NA,3.3,3.81,4,NA,4.09,NA,NA
1962-02-02,NA,NA,3.3,3.77,3.97,NA,4.08,NA,NA
1962-02-05,NA,NA,3.29,3.77,3.96,NA,4.07,NA,NA
1962-02-06,NA,NA,3.29,3.77,3.96,NA,4.06,NA,NA
1962-02-07,NA,NA,3.29,3.77,3.95,NA,4.07,NA,NA
1962-02-08,NA,NA,3.3,3.75,3.93,NA,4.07,NA,NA
1962-02-09,NA,NA,3.28,3.73,3.91,NA,4.05,NA,NA
1962-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-02-13,NA,NA,3.28,3.72,3.91,NA,4.03,NA,NA
1962-02-14,NA,NA,3.31,3.71,3.9,NA,4.03,NA,NA
1962-02-15,NA,NA,3.33,3.71,3.9,NA,4.02,NA,NA
1962-02-16,NA,NA,3.33,3.69,3.88,NA,4.02,NA,NA
1962-02-19,NA,NA,3.32,3.67,3.86,NA,4.01,NA,NA
1962-02-20,NA,NA,3.31,3.67,3.88,NA,4.05,NA,NA
1962-02-21,NA,NA,3.28,3.64,3.86,NA,4.03,NA,NA
1962-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-02-23,NA,NA,3.24,3.6,3.83,NA,4.02,NA,NA
1962-02-26,NA,NA,3.22,3.58,3.8,NA,4,NA,NA
1962-02-27,NA,NA,3.23,3.57,3.8,NA,4.01,NA,NA
1962-02-28,NA,NA,3.21,3.53,3.77,NA,4,NA,NA
1962-03-01,NA,NA,3.15,3.44,3.71,NA,3.98,NA,NA
1962-03-02,NA,NA,3.17,3.48,3.72,NA,3.98,NA,NA
1962-03-05,NA,NA,3.18,3.53,3.74,NA,4,NA,NA
1962-03-06,NA,NA,3.18,3.52,3.74,NA,4.01,NA,NA
1962-03-07,NA,NA,3.14,3.52,3.74,NA,4,NA,NA
1962-03-08,NA,NA,3.11,3.51,3.72,NA,3.98,NA,NA
1962-03-09,NA,NA,3.12,3.53,3.71,NA,3.96,NA,NA
1962-03-12,NA,NA,3.13,3.54,3.73,NA,3.94,NA,NA
1962-03-13,NA,NA,3.11,3.53,3.7,NA,3.92,NA,NA
1962-03-14,NA,NA,3.1,3.53,3.72,NA,3.93,NA,NA
1962-03-15,NA,NA,3.1,3.52,3.73,NA,3.96,NA,NA
1962-03-16,NA,NA,3.06,3.48,3.72,NA,3.96,NA,NA
1962-03-19,NA,NA,3.03,3.44,3.71,NA,3.93,NA,NA
1962-03-20,NA,NA,3.02,3.41,3.67,NA,3.91,NA,NA
1962-03-21,NA,NA,3.01,3.37,3.61,NA,3.86,NA,NA
1962-03-22,NA,NA,2.94,3.29,3.58,NA,3.83,NA,NA
1962-03-23,NA,NA,2.94,3.33,3.62,NA,3.87,NA,NA
1962-03-26,NA,NA,2.95,3.37,3.65,NA,3.89,NA,NA
1962-03-27,NA,NA,2.95,3.39,3.65,NA,3.9,NA,NA
1962-03-28,NA,NA,2.96,3.39,3.64,NA,3.9,NA,NA
1962-03-29,NA,NA,2.96,3.4,3.64,NA,3.9,NA,NA
1962-03-30,NA,NA,2.97,3.39,3.61,NA,3.86,NA,NA
1962-04-02,NA,NA,2.95,3.38,3.58,NA,3.86,NA,NA
1962-04-03,NA,NA,2.93,3.36,3.55,NA,3.83,NA,NA
1962-04-04,NA,NA,2.88,3.28,3.51,NA,3.78,NA,NA
1962-04-05,NA,NA,2.89,3.34,3.56,NA,3.84,NA,NA
1962-04-06,NA,NA,2.89,3.32,3.55,NA,3.81,NA,NA
1962-04-09,NA,NA,2.9,3.33,3.57,NA,3.83,NA,NA
1962-04-10,NA,NA,2.94,3.36,3.57,NA,3.83,NA,NA
1962-04-11,NA,NA,3,3.41,3.61,NA,3.87,NA,NA
1962-04-12,NA,NA,3,3.4,3.61,NA,3.86,NA,NA
1962-04-13,NA,NA,3,3.38,3.6,NA,3.85,NA,NA
1962-04-16,NA,NA,3,3.37,3.6,NA,3.83,NA,NA
1962-04-17,NA,NA,3,3.36,3.6,NA,3.82,NA,NA
1962-04-18,NA,NA,3,3.35,3.6,NA,3.81,NA,NA
1962-04-19,NA,NA,3,3.37,3.6,NA,3.82,NA,NA
1962-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-04-23,NA,NA,3.03,3.4,3.63,NA,3.86,NA,NA
1962-04-24,NA,NA,3.08,3.42,3.65,NA,3.87,NA,NA
1962-04-25,NA,NA,3.08,3.43,3.66,NA,3.88,NA,NA
1962-04-26,NA,NA,3.04,3.43,3.66,NA,3.89,NA,NA
1962-04-27,NA,NA,3.07,3.45,3.64,NA,3.86,NA,NA
1962-04-30,NA,NA,3.07,3.47,3.64,NA,3.86,NA,NA
1962-05-01,NA,NA,3.06,3.45,3.63,NA,3.85,NA,NA
1962-05-02,NA,NA,3.06,3.44,3.64,NA,3.86,NA,NA
1962-05-03,NA,NA,3.05,3.42,3.64,NA,3.86,NA,NA
1962-05-04,NA,NA,3.05,3.42,3.64,NA,3.87,NA,NA
1962-05-07,NA,NA,3.04,3.41,3.64,NA,3.86,NA,NA
1962-05-08,NA,NA,3.01,3.39,3.62,NA,3.85,NA,NA
1962-05-09,NA,NA,3.01,3.37,3.6,NA,3.82,NA,NA
1962-05-10,NA,NA,2.99,3.37,3.61,NA,3.83,NA,NA
1962-05-11,NA,NA,3,3.37,3.61,NA,3.82,NA,NA
1962-05-14,NA,NA,3,3.39,3.63,NA,3.85,NA,NA
1962-05-15,NA,NA,3.04,3.41,3.67,NA,3.87,NA,NA
1962-05-16,NA,NA,3.04,3.4,3.67,NA,3.86,NA,NA
1962-05-17,NA,NA,3.06,3.4,3.67,NA,3.87,NA,NA
1962-05-18,NA,NA,3.05,3.44,3.72,NA,3.93,NA,NA
1962-05-21,NA,NA,3.05,3.46,3.74,NA,3.94,NA,NA
1962-05-22,NA,NA,3.05,3.44,3.71,NA,3.93,NA,NA
1962-05-23,NA,NA,3.04,3.42,3.69,NA,3.91,NA,NA
1962-05-24,NA,NA,3.02,3.39,3.68,NA,3.9,NA,NA
1962-05-25,NA,NA,3.01,3.37,3.66,NA,3.88,NA,NA
1962-05-28,NA,NA,2.98,3.36,3.65,NA,3.87,NA,NA
1962-05-29,NA,NA,2.97,3.37,3.66,NA,3.89,NA,NA
1962-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-05-31,NA,NA,2.99,3.36,3.66,NA,3.9,NA,NA
1962-06-01,NA,NA,2.98,3.35,3.64,NA,3.89,NA,NA
1962-06-04,NA,NA,2.98,3.33,3.63,NA,3.88,NA,NA
1962-06-05,NA,NA,2.97,3.35,3.64,NA,3.89,NA,NA
1962-06-06,NA,NA,2.95,3.34,3.62,NA,3.89,NA,NA
1962-06-07,NA,NA,2.95,3.33,3.6,NA,3.87,NA,NA
1962-06-08,NA,NA,2.94,3.33,3.6,NA,3.86,NA,NA
1962-06-11,NA,NA,2.95,3.31,3.59,NA,3.87,NA,NA
1962-06-12,NA,NA,2.94,3.29,3.57,NA,3.86,NA,NA
1962-06-13,NA,NA,2.94,3.31,3.57,NA,3.87,NA,NA
1962-06-14,NA,NA,3,3.34,3.6,NA,3.9,NA,NA
1962-06-15,NA,NA,3,3.34,3.6,NA,3.89,NA,NA
1962-06-18,NA,NA,3.03,3.36,3.61,NA,3.91,NA,NA
1962-06-19,NA,NA,3.06,3.41,3.64,NA,3.93,NA,NA
1962-06-20,NA,NA,3.04,3.4,3.63,NA,3.92,NA,NA
1962-06-21,NA,NA,3.04,3.38,3.61,NA,3.9,NA,NA
1962-06-22,NA,NA,3.04,3.38,3.61,NA,3.9,NA,NA
1962-06-25,NA,NA,3.12,3.47,3.68,NA,3.95,NA,NA
1962-06-26,NA,NA,3.14,3.5,3.71,NA,3.97,NA,NA
1962-06-27,NA,NA,3.14,3.49,3.68,NA,3.96,NA,NA
1962-06-28,NA,NA,3.18,3.53,3.76,NA,3.98,NA,NA
1962-06-29,NA,NA,3.2,3.56,3.76,NA,4,NA,NA
1962-07-02,NA,NA,3.21,3.57,3.77,NA,4,NA,NA
1962-07-03,NA,NA,3.23,3.58,3.76,NA,4,NA,NA
1962-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-07-05,NA,NA,3.21,3.59,3.78,NA,4,NA,NA
1962-07-06,NA,NA,3.23,3.6,3.79,NA,4.02,NA,NA
1962-07-09,NA,NA,3.26,3.67,3.83,NA,4.05,NA,NA
1962-07-10,NA,NA,3.27,3.65,3.81,NA,4.02,NA,NA
1962-07-11,NA,NA,3.26,3.59,3.77,NA,3.99,NA,NA
1962-07-12,NA,NA,3.27,3.6,3.78,NA,4,NA,NA
1962-07-13,NA,NA,3.27,3.61,3.78,NA,4,NA,NA
1962-07-16,NA,NA,3.28,3.63,3.8,NA,4.01,NA,NA
1962-07-17,NA,NA,3.34,3.66,3.82,NA,4.03,NA,NA
1962-07-18,NA,NA,3.36,3.65,3.83,NA,4.02,NA,NA
1962-07-19,NA,NA,3.33,3.64,3.83,NA,4.02,NA,NA
1962-07-20,NA,NA,3.32,3.63,3.82,NA,4.01,NA,NA
1962-07-23,NA,NA,3.32,3.6,3.81,NA,4,NA,NA
1962-07-24,NA,NA,3.32,3.61,3.82,NA,4.01,NA,NA
1962-07-25,NA,NA,3.32,3.62,3.83,NA,4.02,NA,NA
1962-07-26,NA,NA,3.32,3.62,3.82,NA,4.01,NA,NA
